model,params_b,is_moe,quant,best_tokens_per_dollar,best_config,best_tier,dividend_vs_fp16,byte_ratio
Llama-3.2-3B,3,False,FP16,20464871.0,2x RTX 3090,Consumer,1.0,1.0
Llama-3.2-3B,3,False,INT4,86317069.0,1x RTX 3090,Consumer,4.217816423079334,4.0
Llama-3.2-3B,3,False,INT8,40929742.0,2x RTX 3090,Consumer,2.0,2.0
Llama-3.1-8B,8,False,FP16,6061645.0,2x RTX 3090,Consumer,1.0,1.0
Llama-3.1-8B,8,False,INT4,30697307.0,2x RTX 3090,Consumer,5.064187526653243,4.0
Llama-3.1-8B,8,False,INT8,15348653.0,2x RTX 3090,Consumer,2.5320936808407617,2.0
Gemma-3-12B,12,False,FP16,3030375.0,4x RTX 4090,Consumer,1.0,1.0
Gemma-3-12B,12,False,INT4,18877844.0,2x RTX 3090,Consumer,6.2295405684115,4.0
Gemma-3-12B,12,False,INT8,8082194.0,2x RTX 3090,Consumer,2.667060677308914,2.0
Phi-4-14B,14,False,FP16,2597464.0,4x RTX 4090,Consumer,1.0,1.0
Phi-4-14B,14,False,INT4,15260105.0,2x RTX 3090,Consumer,5.875001539963595,4.0
Phi-4-14B,14,False,INT8,6209106.0,2x RTX 3090,Consumer,2.3904492997785534,2.0
Qwen3-14B,14,False,FP16,2597464.0,4x RTX 4090,Consumer,1.0,1.0
Qwen3-14B,14,False,INT4,15260105.0,2x RTX 3090,Consumer,5.875001539963595,4.0
Qwen3-14B,14,False,INT8,6209106.0,2x RTX 3090,Consumer,2.3904492997785534,2.0
Mistral-Small-3.1-24B,24,False,FP16,1072663.0,4x RTX 4090,Consumer,1.0,1.0
Mistral-Small-3.1-24B,24,False,INT4,6383803.0,2x RTX 3090,Consumer,5.951359373820109,4.0
Mistral-Small-3.1-24B,24,False,INT8,3030375.0,4x RTX 4090,Consumer,2.825095113749612,2.0
Gemma-3-27B,27,False,FP16,890299.0,1x H200 SXM,Enterprise,1.0,1.0
Gemma-3-27B,27,False,INT4,5387334.0,4x RTX 4090,Consumer,6.051151354769577,4.0
Gemma-3-27B,27,False,INT8,2693667.0,4x RTX 4090,Consumer,3.0255756773847886,2.0
Qwen3-30B-A3B,30,True,FP16,4241981.0,4x RTX 4090,Consumer,1.0,1.0
Qwen3-30B-A3B,30,True,INT4,31556945.0,2x RTX 3090,Consumer,7.439199986987212,4.0
Qwen3-30B-A3B,30,True,INT8,9510337.0,4x RTX 4090,Consumer,2.2419565292725263,2.0
Qwen3-32B,32,False,FP16,751190.0,1x H200 SXM,Enterprise,1.0,1.0
Qwen3-32B,32,False,INT4,4545563.0,4x RTX 4090,Consumer,6.051149509445014,4.0
Qwen3-32B,32,False,INT8,2037062.0,4x RTX 4090,Consumer,2.7117799757717753,2.0
Llama-3.3-70B,70,False,FP16,291891.0,2x H200 SXM,Enterprise,1.0,1.0
Llama-3.3-70B,70,False,INT4,1373604.0,1x H200 SXM,Enterprise,4.705879934633134,4.0
Llama-3.3-70B,70,False,INT8,583782.0,2x H200 SXM,Enterprise,2.0,2.0
Qwen2.5-72B,72,False,FP16,283783.0,2x H200 SXM,Enterprise,1.0,1.0
Qwen2.5-72B,72,False,INT4,1335449.0,1x H200 SXM,Enterprise,4.705880901956776,4.0
Qwen2.5-72B,72,False,INT8,567566.0,2x H200 SXM,Enterprise,2.0,2.0
gpt-oss-120B,117,True,FP16,1491293.0,4x A100 80GB,Enterprise,1.0,1.0
gpt-oss-120B,117,True,INT4,11188631.0,4x RTX 4090,Consumer,7.502637643977407,4.0
gpt-oss-120B,117,True,INT8,3508924.0,2x A100 80GB,Enterprise,2.3529407031347964,2.0
Mistral-Large-123B,123,False,FP16,141199.0,4x H200 SXM,Enterprise,1.0,1.0
Mistral-Large-123B,123,False,INT4,664467.0,2x H200 SXM,Enterprise,4.705890268344676,4.0
Mistral-Large-123B,123,False,INT8,332234.0,2x H200 SXM,Enterprise,2.3529486752739044,2.0
Qwen3-235B-A22B,235,True,FP16,293852.0,8x A100 80GB,Enterprise,1.0,1.0
Qwen3-235B-A22B,235,True,INT4,1457355.0,2x H200 SXM,Enterprise,4.9594864081238175,4.0
Qwen3-235B-A22B,235,True,INT8,619376.0,4x H200 SXM,Enterprise,2.1077821488368294,2.0
GLM-4.6-357B,357,True,FP16,180974.0,8x H200 SXM,Enterprise,1.0,1.0
GLM-4.6-357B,357,True,INT4,1001932.0,2x H200 SXM,Enterprise,5.5363311856951825,4.0
GLM-4.6-357B,357,True,INT8,425821.0,4x H200 SXM,Enterprise,2.352940201354891,2.0
Llama-4-Maverick-400B,400,True,FP16,340657.0,8x H200 SXM,Enterprise,1.0,1.0
Llama-4-Maverick-400B,400,True,INT4,1789551.0,4x A100 80GB,Enterprise,5.2532341915768646,4.0
Llama-4-Maverick-400B,400,True,INT8,801545.0,4x H200 SXM,Enterprise,2.352938586319964,2.0
Llama-3.1-405B,405,False,FP16,33624.0,8x H200 SXM,Enterprise,1.0,1.0
Llama-3.1-405B,405,False,INT4,171531.0,4x H200 SXM,Enterprise,5.1014453961456105,4.0
Llama-3.1-405B,405,False,INT8,72901.0,8x H200 SXM,Enterprise,2.16812395907685,2.0
DeepSeek-V3.2-685B,685,True,INT4,736555.0,4x H200 SXM,Enterprise,,4.0
DeepSeek-V3.2-685B,685,True,INT8,313036.0,8x H200 SXM,Enterprise,,2.0
Kimi-K2-1T,1000,True,INT4,808094.0,8x A100 80GB,Enterprise,,4.0
